id,name,country,lat,lon
DXB,Dubai International,United Arab Emirates,"25,250000","55,357800"
LHR,Heathrow,United Kingdom,"51,471401","-0,452800"
HKG,Hong Kong Intl,Hong Kong (SAR),"22,303600","113,920502"
ICN,Incheon International Airport,South Korea,"37,460201","126,440697"
SIN,Changi,Singapore,"1,357800","103,990799"
CDG,Charles De Gaulle,France,"49,009701","2,548600"
AMS,Schiphol,Netherlands,"52,308300","4,768100"
FRA,Frankfurt International Airport,Germany,"50,038898","8,570600"
BKK,Suvarnabhumi - New Bangkok International Airport,Thailand,"13,702700","100,745598"
IST,Istanbul Airport,Turkey,"40,976700","28,815300"
KUL,Kuala Lumpur International Airport,Malaysia,"2,745600","101,709900"
TPE,Taiwan Taoyuan International Airport,Taiwan,"25,082600","121,228500"
DOH,Hamad International Airport,Qatar,"25,274401","51,608299"
MAD,Adolfo Suarez-Barajas,Spain,"40,473598","-3,561100"
MUC,Franz Josef Strauss International,Germany,"48,349998","11,783300"
LGW,Gatwick,United Kingdom,"51,148102","-0,196700"
JFK,John F Kennedy Intl,United States,"40,638599","-73,776901"
PVG,Pudong International,China,"31,143900","121,791397"
BCN,Barcelona,Spain,"41,296902","2,078300"
NRT,Narita,Japan,"35,763901","140,391098"
FCO,Fiumicino,Italy,"41,800301","12,238900"
YYZ,Toronto Lester B. Pearson Intl,Canada,"43,679699","-79,625000"
ZRH,Zurich,Switzerland,"47,458302","8,551700"
VIE,Vienna International,Austria,"48,111099","16,558300"
DUB,Dublin International,Ireland,"53,432499","-6,252200"
PEK,Capital International,China,"40,066700","116,599999"
CPH,Kastrup,Denmark,"55,608101","12,633300"
LAX,Los Angeles Intl,United States,"33,942200","-118,407204"
SVO,Sheremetyevo,Russian Federation,"55,983299","37,416698"
BRU,Brussels Airport,Belgium,"50,901402","4,484400"
LIS,Lisboa,Portugal,"38,781899","-9,133300"
MIA,Miami International,United States,"25,792500","-80,286102"
KIX,Kansai International,Japan,"34,424999","135,247192"
MAN,Manchester Airport,United Kingdom,"53,353298","-2,276700"
MNL,Ninoy Aquino Intl,Philippines,"14,508600","121,019302"
JED,King Abdulaziz Intl,Saudi Arabia,"21,671301","39,159698"
STN,Stansted,United Kingdom,"51,882801","0,233900"
MXP,Malpensa,Italy,"45,632801","8,732200"
TLV,Ben Gurion Intl,Israel,"32,012199","34,882500"
ARN,Arlanda,Sweden,"59,661900","17,933901"
DUS,Duesseldorf International,Germany,"51,281101","6,752800"
AUH,Abu Dhabi Intl,United Arab Emirates,"24,433100","54,648899"
ORY,Orly,France,"48,728901","2,357200"
CAN,Baiyun International,China,"23,392500","113,299698"
MEX,Benito Juarez Intl,Mexico,"19,435301","-99,072800"
PMI,Palma de Mallorca,Spain,"39,553600","2,727800"
HEL,Helsinki-Vantaa,Finland,"60,325600","24,971701"
HND,Tokyo Intl (Haneda),Japan,"35,553600","139,765793"
CAI,Cairo International Airport,Egypt,"30,137501","31,406900"
ATL,Hartsfield-Jackson Int,United States,"33,640800","-84,427200"
EWR,Newark Liberty Intl,United States,"40,695801","-74,171700"
GVA,Geneva International Airport,Switzerland,"46,238098","6,108900"
CUN,Cancun International,Mexico,"21,033300","-86,866699"
DEL,Indira Gandhi Intl,India,"28,573601","77,100800"
SYD,Kingsford Smith,Australia,"-33,944199","151,175797"
DMK,Don Mueang International Airport,Thailand,"13,911100","100,608299"
KWI,Kuwait Intl,Kuwait,"29,230301","47,975300"
OSL,Oslo Airport,Norway,"60,200001","11,083300"
CGK,Soekarno-Hatta Intl,Indonesia,"-6,125800","106,657799"
ATH,Eleftherios Venizelos Airport,Greece,"37,936401","23,944401"
PRG,Ruzyne,Czech Republic,"50,099998","14,266700"
MCT,Muscat International Airport,Oman,"23,591700","58,279202"
WAW,Okecie,Poland,"52,166698","20,966700"
PTY,"Tocumen Intl, Panama R",Panama,"9,070000","-79,383598"
SFO,San Francisco Intl,United States,"37,619400","-122,372803"
ORD,O'Hare International,United States,"41,978100","-87,906097"
TXL,Tegel,Germany,"52,560600","13,295600"
SGN,Tan Son Nhat International Airport,Vietnam,"10,817200","106,657799"
LTN,Luton International,United Kingdom,"51,874401","-0,366400"
BUD,Liszt Ferenc International,Hungary,"47,433300","19,233299"
AGP,Malaga Airport,Spain,"36,671700","-4,498100"
IAH,George Bush Intercontinental,United States,"29,983299","-95,339996"
AYT,Antalya,Turkey,"36,905602","30,790600"
YVR,Vancouver Intl,Canada,"49,187199","-123,185303"
GRU,Guarulhos Intl,Brazil,"-23,434999","-46,472801"
SAW,Sabiha Gokcen,Turkey,"40,899399","29,309200"
DPS,Ngurah Rai,Indonesia,"-8,748600","115,165001"
ADD,Bole International,Ethiopia,"8,977800","38,798100"
