departure_date,departure_id,arrival_id,window_seat,group_size,arrival_name,arrival_country,arrival_lat,arrival_lon,departure_name,departure_country,departure_lat,departure_lon
02/08/2002,LIS,HER,0,4,Nikos Kazantzakis Airport,Greece,"35,339,699","25,180,300",Lisboa,Portugal,"38,781,899","-9,133,300"
05/08/2004,LIS,REC,0,4,Guararapes International,Brazil,"-8,125,800","-34,923,901",Lisboa,Portugal,"38,781,899","-9,133,300"
10/08/2005,LIS,PUJ,0,9,Punta Cana International,Dominican Republic,"18,566,700","-68,383,301",Lisboa,Portugal,"38,781,899","-9,133,300"
29/07/2006,LIS,GRU,0,4,Guarulhos Intl,Brazil,"-23,434,999","-46,472,801",Lisboa,Portugal,"38,781,899","-9,133,300"
03/08/2008,LIS,TUN,0,9,Carthage,Tunisia,"36,852,501","10,229,400",Lisboa,Portugal,"38,781,899","-9,133,300"
10/08/2010,LIS,MAH,0,10,Menorca,Spain,"39,861,401","4,215,300",Lisboa,Portugal,"38,781,899","-9,133,300"
09/08/2012,LIS,PRG,1,3,Ruzyne,Czech Republic,"50,099,998","14,266,700",Lisboa,Portugal,"38,781,899","-9,133,300"
07/08/2013,LIS,IST,0,3,Istanbul Airport,Turkey,"40,976,700","28,815,300",Lisboa,Portugal,"38,781,899","-9,133,300"
27/07/2014,LIS,DXB,0,3,Dubai International,United Arab Emirates,"25,250,000","55,357,800",Lisboa,Portugal,"38,781,899","-9,133,300"
01/08/2015,LIS,MAD,0,3,Adolfo Suarez-Barajas,Spain,"40,473,598","-3,561,100",Lisboa,Portugal,"38,781,899","-9,133,300"
21/07/2023,LIS,MAD,1,2,Adolfo Suarez-Barajas,Spain,"40,473,598","-3,561,100",Lisboa,Portugal,"38,781,899","-9,133,300"
02/08/2016,LIS,SVO,0,4,Sheremetyevo,Russian Federation,"55,983,299","37,416,698",Lisboa,Portugal,"38,781,899","-9,133,300"
09/08/2002,HER,LIS,0,4,Lisboa,Portugal,"38,781,899","-9,133,300",Nikos Kazantzakis Airport,Greece,"35,339,699","25,180,300"
13/08/2004,REC,LIS,0,4,Lisboa,Portugal,"38,781,899","-9,133,300",Guararapes International,Brazil,"-8,125,800","-34,923,901"
24/08/2005,PUJ,LIS,0,9,Lisboa,Portugal,"38,781,899","-9,133,300",Punta Cana International,Dominican Republic,"18,566,700","-68,383,301"
12/08/2006,MAO,LIS,0,4,Lisboa,Portugal,"38,781,899","-9,133,300",Eduardo Gomes Intl,Brazil,"-3,039,200","-60,049,999"
10/08/2008,TUN,LIS,1,9,Lisboa,Portugal,"38,781,899","-9,133,300",Carthage,Tunisia,"36,852,501","10,229,400"
16/08/2010,MAH,LIS,0,10,Lisboa,Portugal,"38,781,899","-9,133,300",Menorca,Spain,"39,861,401","4,215,300"
15/08/2012,VIE,LIS,0,3,Lisboa,Portugal,"38,781,899","-9,133,300",Vienna International,Austria,"48,111,099","16,558,300"
13/08/2013,AYT,LIS,0,3,Lisboa,Portugal,"38,781,899","-9,133,300",Antalya,Turkey,"36,905,602","30,790,600"
08/08/2014,DXB,LIS,0,3,Lisboa,Portugal,"38,781,899","-9,133,300",Dubai International,United Arab Emirates,"25,250,000","55,357,800"
28/07/2014,DXB,KUL,1,3,Kuala Lumpur International Airport,Malaysia,"2,745,600","101,709,900",Dubai International,United Arab Emirates,"25,250,000","55,357,800"
11/08/2015,MAD,LIS,0,3,Lisboa,Portugal,"38,781,899","-9,133,300",Adolfo Suarez-Barajas,Spain,"40,473,598","-3,561,100"
02/08/2015,MAD,HAV,0,3,Jose Marti Intl,Cuba,"22,989,401","-82,407,501",Adolfo Suarez-Barajas,Spain,"40,473,598","-3,561,100"
13/08/2019,MAD,CUN,0,5,Cancun International,Mexico,"21,033,300","-86,866,699",Adolfo Suarez-Barajas,Spain,"40,473,598","-3,561,100"
22/07/2023,MAD,EZE,0,2,Ministro Pistarini,Argentina,"-34,820,000","-58,533,901",Adolfo Suarez-Barajas,Spain,"40,473,598","-3,561,100"
13/08/2016,PIE,LIS,0,4,Lisboa,Portugal,"38,781,899","-9,133,300",St.Pete-Clearwater Int,United States,"27,916,700","-82,683,296"
12/08/2006,GRU,MAO,0,4,Eduardo Gomes Intl,Brazil,"-3,039,200","-60,049,999",Guarulhos Intl,Brazil,"-23,434,999","-46,472,801"
31/07/2009,OPO,BVC,0,9,Rabil Airport,Cape Verde,"16,083,300","-22,833,300",Porto,Portugal,"41,238,098","-8,674,700"
11/04/2011,OPO,CDG,0,7,Charles De Gaulle,France,"49,009,701","2,548,600",Porto,Portugal,"41,238,098","-8,674,700"
15/04/2016,OPO,CDG,0,2,Charles De Gaulle,France,"49,009,701","2,548,600",Porto,Portugal,"41,238,098","-8,674,700"
10/06/2016,OPO,CDG,0,3,Charles De Gaulle,France,"49,009,701","2,548,600",Porto,Portugal,"41,238,098","-8,674,700"
21/01/2013,OPO,LCY,1,5,City Airport,United Kingdom,"51,516,701","-0,0667",Porto,Portugal,"41,238,098","-8,674,700"
16/07/2017,OPO,LCY,0,1,City Airport,United Kingdom,"51,516,701","-0,0667",Porto,Portugal,"41,238,098","-8,674,700"
17/07/2013,OPO,FCO,0,3,Fiumicino,Italy,"41,800,301","12,238,900",Porto,Portugal,"41,238,098","-8,674,700"
13/11/2014,OPO,MRS,0,2,Marignane,France,"43,435,600","5,216,400",Porto,Portugal,"41,238,098","-8,674,700"
16/08/2014,OPO,DBV,0,2,Dubrovnik,Croatia,"42,563,301","18,265,301",Porto,Portugal,"41,238,098","-8,674,700"
02/04/2015,OPO,AMS,0,4,Schiphol,Netherlands,"52,308,300","4,768,100",Porto,Portugal,"41,238,098","-8,674,700"
18/07/2015,OPO,DUB,0,4,Dublin International,Ireland,"53,432,499","-6,252,200",Porto,Portugal,"41,238,098","-8,674,700"
18/07/2016,OPO,VCE,0,5,Marco Polo,Italy,"45,500,000","12,350,000",Porto,Portugal,"41,238,098","-8,674,700"
01/08/2018,OPO,ACE,0,3,Lanzarote,Spain,"28,942,499","-13,604,700",Porto,Portugal,"41,238,098","-8,674,700"
15/08/2018,OPO,BRU,0,2,Brussels Airport,Belgium,"50,901,402","4,484,400",Porto,Portugal,"41,238,098","-8,674,700"
10/03/2023,OPO,BRU,0,15,Brussels Airport,Belgium,"50,901,402","4,484,400",Porto,Portugal,"41,238,098","-8,674,700"
20/04/2019,OPO,STN,0,2,Stansted,United Kingdom,"51,882,801","0,2339",Porto,Portugal,"41,238,098","-8,674,700"
16/07/2019,OPO,STN,0,2,Stansted,United Kingdom,"51,882,801","0,2339",Porto,Portugal,"41,238,098","-8,674,700"
01/08/2019,OPO,WAW,0,3,Okecie,Poland,"52,166,698","20,966,700",Porto,Portugal,"41,238,098","-8,674,700"
09/08/2021,OPO,PDL,0,8,Nordela,Portugal,"37,747,200","-25,681,900",Porto,Portugal,"41,238,098","-8,674,700"
19/11/2022,OPO,MUC,0,1,Franz Josef Strauss International,Germany,"48,349,998","11,783,300",Porto,Portugal,"41,238,098","-8,674,700"
