,departure_date,departure_airport_code,arrival_airport_code,window_seat,group_size,arrival_airport_name,arrival_country,arrival_lat,arrival_lon,departure_airport_name,departure_country,departure_lat,departure_lon
0,2002-08-02,LIS,HER,0,4,Nikos Kazantzakis Airport,Greece,35339699,251803,Lisboa,Portugal,38781899,-91333
1,2004-08-05,LIS,REC,0,4,Guararapes International,Brazil,-81258,-34923901,Lisboa,Portugal,38781899,-91333
2,2005-08-10,LIS,PUJ,0,9,Punta Cana International,Dominican Republic,185667,-68383301,Lisboa,Portugal,38781899,-91333
3,2006-07-29,LIS,GRU,0,4,Guarulhos Intl,Brazil,-23434999,-46472801,Lisboa,Portugal,38781899,-91333
4,2008-08-03,LIS,TUN,0,9,Carthage,Tunisia,36852501,102294,Lisboa,Portugal,38781899,-91333
5,2010-08-10,LIS,MAH,0,10,Menorca,Spain,39861401,42153,Lisboa,Portugal,38781899,-91333
6,2012-08-09,LIS,PRG,1,3,Ruzyne,Czech Republic,50099998,142667,Lisboa,Portugal,38781899,-91333
7,2013-08-07,LIS,IST,0,3,Istanbul Airport,Turkey,409767,288153,Lisboa,Portugal,38781899,-91333
8,2014-07-27,LIS,DXB,0,3,Dubai International,United Arab Emirates,2525,553578,Lisboa,Portugal,38781899,-91333
9,2015-08-01,LIS,MAD,0,3,Adolfo Suarez-Barajas,Spain,40473598,-35611,Lisboa,Portugal,38781899,-91333
10,2023-07-21,LIS,MAD,1,2,Adolfo Suarez-Barajas,Spain,40473598,-35611,Lisboa,Portugal,38781899,-91333
11,2016-08-02,LIS,SVO,0,4,Sheremetyevo,Russian Federation,55983299,37416698,Lisboa,Portugal,38781899,-91333
12,2002-08-09,HER,LIS,0,4,Lisboa,Portugal,38781899,-91333,Nikos Kazantzakis Airport,Greece,35339699,251803
13,2004-08-13,REC,LIS,0,4,Lisboa,Portugal,38781899,-91333,Guararapes International,Brazil,-81258,-34923901
14,2005-08-24,PUJ,LIS,0,9,Lisboa,Portugal,38781899,-91333,Punta Cana International,Dominican Republic,185667,-68383301
15,2006-08-12,MAO,LIS,0,4,Lisboa,Portugal,38781899,-91333,Eduardo Gomes Intl,Brazil,-30392,-60049999
16,2008-08-10,TUN,LIS,1,9,Lisboa,Portugal,38781899,-91333,Carthage,Tunisia,36852501,102294
17,2010-08-16,MAH,LIS,0,10,Lisboa,Portugal,38781899,-91333,Menorca,Spain,39861401,42153
