,departure_date,departure_airport,id,window_seat,group_size,name,country,lat,lon
0,02/08/2002,LIS,HER,0,4,Nikos Kazantzakis Airport,Greece,"35,339699","25,180300"
1,09/08/2002,HER,LIS,0,4,Lisboa,Portugal,"38,781899","-9,133300"
2,13/08/2004,REC,LIS,0,4,Lisboa,Portugal,"38,781899","-9,133300"
3,24/08/2005,PUJ,LIS,0,9,Lisboa,Portugal,"38,781899","-9,133300"
4,12/08/2006,MAO,LIS,0,4,Lisboa,Portugal,"38,781899","-9,133300"
5,10/08/2008,TUN,LIS,1,9,Lisboa,Portugal,"38,781899","-9,133300"
6,16/08/2010,MAH,LIS,0,10,Lisboa,Portugal,"38,781899","-9,133300"
7,15/08/2012,VIE,LIS,0,3,Lisboa,Portugal,"38,781899","-9,133300"
8,13/08/2013,AYT,LIS,0,3,Lisboa,Portugal,"38,781899","-9,133300"
9,08/08/2014,DXB,LIS,0,3,Lisboa,Portugal,"38,781899","-9,133300"
10,11/08/2015,MAD,LIS,0,3,Lisboa,Portugal,"38,781899","-9,133300"
11,13/08/2016,PIE,LIS,0,4,Lisboa,Portugal,"38,781899","-9,133300"
12,05/08/2004,LIS,REC,0,4,Guararapes International,Brazil,"-8,125800","-34,923901"
13,10/08/2005,LIS,PUJ,0,9,Punta Cana International,Dominican Republic,"18,566700","-68,383301"
14,29/07/2006,LIS,GRU,0,4,Guarulhos Intl,Brazil,"-23,434999","-46,472801"
15,12/08/2006,GRU,MAO,0,4,Eduardo Gomes Intl,Brazil,"-3,039200","-60,049999"
16,03/08/2008,LIS,TUN,0,9,Carthage,Tunisia,"36,852501","10,229400"
17,31/07/2009,OPO,BVC,0,9,Rabil Airport,Cape Verde,"16,083300","-22,833300"
18,06/08/2009,BVC,OPO,0,9,Porto,Portugal,"41,238098","-8,674700"
19,16/04/2011,CDG,OPO,1,7,Porto,Portugal,"41,238098","-8,674700"
20,25/01/2013,LCY,OPO,0,5,Porto,Portugal,"41,238098","-8,674700"
21,22/07/2013,VCE,OPO,1,3,Porto,Portugal,"41,238098","-8,674700"
22,17/11/2014,MRS,OPO,1,2,Porto,Portugal,"41,238098","-8,674700"
23,10/08/2014,DBV,OPO,0,2,Porto,Portugal,"41,238098","-8,674700"
24,06/04/2015,AMS,OPO,1,4,Porto,Portugal,"41,238098","-8,674700"
25,26/07/2015,BFS,OPO,0,4,Porto,Portugal,"41,238098","-8,674700"
26,19/04/2016,CDG,OPO,1,2,Porto,Portugal,"41,238098","-8,674700"
27,14/06/2016,CDG,OPO,0,3,Porto,Portugal,"41,238098","-8,674700"
28,26/07/2016,ATH,OPO,0,5,Porto,Portugal,"41,238098","-8,674700"
29,21/07/2017,LCY,OPO,0,1,Porto,Portugal,"41,238098","-8,674700"
30,06/08/2018,ACE,OPO,1,3,Porto,Portugal,"41,238098","-8,674700"
31,20/08/2018,BRU,OPO,0,2,Porto,Portugal,"41,238098","-8,674700"
32,25/04/2019,STN,OPO,0,2,Porto,Portugal,"41,238098","-8,674700"
33,21/07/2019,STN,OPO,0,2,Porto,Portugal,"41,238098","-8,674700"
34,07/08/2019,BER,OPO,1,3,Porto,Portugal,"41,238098","-8,674700"
35,16/08/2021,PDL,OPO,0,8,Porto,Portugal,"41,238098","-8,674700"
36,25/11/2022,ZRH,OPO,0,1,Porto,Portugal,"41,238098","-8,674700"
37,14/03/2023,BRU,OPO,0,15,Porto,Portugal,"41,238098","-8,674700"
38,10/08/2010,LIS,MAH,0,10,Menorca,Spain,"39,861401","4,215300"
