departure_date,id,arrival_airport,window_seat,group_size,arrival_airport_name,arrival_country,arrival_lat,arrival_lon
2002-08-02,LIS,HER,0,4,Nikos Kazantzakis Airport,Greece,"35,339699","25,1803"
2002-08-09,HER,LIS,0,4,Lisboa,Portugal,"38,781899","-9,1333"
2004-08-13,REC,LIS,0,4,Lisboa,Portugal,"38,781899","-9,1333"
2005-08-24,PUJ,LIS,0,9,Lisboa,Portugal,"38,781899","-9,1333"
2006-08-12,MAO,LIS,0,4,Lisboa,Portugal,"38,781899","-9,1333"
2008-08-10,TUN,LIS,1,9,Lisboa,Portugal,"38,781899","-9,1333"
2010-08-16,MAH,LIS,0,10,Lisboa,Portugal,"38,781899","-9,1333"
2012-08-15,VIE,LIS,0,3,Lisboa,Portugal,"38,781899","-9,1333"
2013-08-13,AYT,LIS,0,3,Lisboa,Portugal,"38,781899","-9,1333"
2014-08-08,DXB,LIS,0,3,Lisboa,Portugal,"38,781899","-9,1333"
2015-08-11,MAD,LIS,0,3,Lisboa,Portugal,"38,781899","-9,1333"
2016-08-13,PIE,LIS,0,4,Lisboa,Portugal,"38,781899","-9,1333"
2004-08-05,LIS,REC,0,4,Guararapes International,Brazil,"-8,1258","-34,923901"
2005-08-10,LIS,PUJ,0,9,Punta Cana International,Dominican Republic,"18,5667","-68,383301"
2006-07-29,LIS,GRU,0,4,Guarulhos Intl,Brazil,"-23,434999","-46,472801"
2006-08-12,GRU,MAO,0,4,Eduardo Gomes Intl,Brazil,"-3,0392","-60,049999"
2008-08-03,LIS,TUN,0,9,Carthage,Tunisia,"36,852501","10,2294"
2009-07-31,OPO,BVC,0,9,Rabil Airport,Cape Verde,"16,0833","-22,8333"
2009-08-06,BVC,OPO,0,9,Porto,Portugal,"41,238098","-8,6747"
2011-04-16,CDG,OPO,1,7,Porto,Portugal,"41,238098","-8,6747"
2013-01-25,LCY,OPO,0,5,Porto,Portugal,"41,238098","-8,6747"
2013-07-22,VCE,OPO,1,3,Porto,Portugal,"41,238098","-8,6747"
2014-11-17,MRS,OPO,1,2,Porto,Portugal,"41,238098","-8,6747"
2014-08-10,DBV,OPO,0,2,Porto,Portugal,"41,238098","-8,6747"
2015-04-06,AMS,OPO,1,4,Porto,Portugal,"41,238098","-8,6747"
2015-07-26,BFS,OPO,0,4,Porto,Portugal,"41,238098","-8,6747"
2016-04-19,CDG,OPO,1,2,Porto,Portugal,"41,238098","-8,6747"
2016-06-14,CDG,OPO,0,3,Porto,Portugal,"41,238098","-8,6747"
2016-07-26,ATH,OPO,0,5,Porto,Portugal,"41,238098","-8,6747"
2017-07-21,LCY,OPO,0,1,Porto,Portugal,"41,238098","-8,6747"
2018-08-06,ACE,OPO,1,3,Porto,Portugal,"41,238098","-8,6747"
2018-08-20,BRU,OPO,0,2,Porto,Portugal,"41,238098","-8,6747"
2019-04-25,STN,OPO,0,2,Porto,Portugal,"41,238098","-8,6747"
2019-07-21,STN,OPO,0,2,Porto,Portugal,"41,238098","-8,6747"
2019-08-07,BER,OPO,1,3,Porto,Portugal,"41,238098","-8,6747"
2021-08-16,PDL,OPO,0,8,Porto,Portugal,"41,238098","-8,6747"
2022-11-25,ZRH,OPO,0,1,Porto,Portugal,"41,238098","-8,6747"
2023-03-14,BRU,OPO,0,15,Porto,Portugal,"41,238098","-8,6747"
2010-08-10,LIS,MAH,0,10,Menorca,Spain,"39,861401","4,2153"
2011-04-11,OPO,CDG,0,7,Charles De Gaulle,France,"49,009701","2,5486"
2016-04-15,OPO,CDG,0,2,Charles De Gaulle,France,"49,009701","2,5486"
2016-06-10,OPO,CDG,0,3,Charles De Gaulle,France,"49,009701","2,5486"
2012-08-09,LIS,PRG,1,3,Ruzyne,Czech Republic,"50,099998","14,2667"
2013-01-21,OPO,LCY,1,5,City Airport,United Kingdom,"51,516701","-0,0667"
2017-07-16,OPO,LCY,0,1,City Airport,United Kingdom,"51,516701","-0,0667"
2017-07-20,ARN,LCY,0,2,City Airport,United Kingdom,"51,516701","-0,0667"
2013-07-17,OPO,FCO,0,3,Fiumicino,Italy,"41,800301","12,2389"
2013-08-07,LIS,IST,0,3,Istanbul Airport,Turkey,"40,9767","28,8153"
2013-08-13,IST,AYT,0,3,Antalya,Turkey,"36,905602","30,7906"
2014-11-13,OPO,MRS,0,2,Marignane,France,"43,4356","5,2164"
2014-08-16,OPO,DBV,0,2,Dubrovnik,Croatia,"42,563301","18,265301"
2014-07-27,LIS,DXB,0,3,Dubai International,United Arab Emirates,"25,25","55,3578"
2014-08-07,MFM,DXB,0,3,Dubai International,United Arab Emirates,"25,25","55,3578"
2014-07-28,DXB,KUL,1,3,Kuala Lumpur International Airport,Malaysia,"2,7456","101,7099"
2014-07-31,KUL,SIN,0,3,Changi,Singapore,"1,3578","103,990799"
2014-08-02,SIN,HKG,0,3,Hong Kong Intl,Hong Kong (SAR),"22,3036","113,920502"
2015-04-02,OPO,AMS,0,4,Schiphol,Netherlands,"52,3083","4,7681"
2015-07-18,OPO,DUB,0,4,Dublin International,Ireland,"53,432499","-6,2522"
2015-08-01,LIS,MAD,0,3,Adolfo Suarez-Barajas,Spain,"40,473598","-3,5611"
2015-08-11,HAV,MAD,0,3,Adolfo Suarez-Barajas,Spain,"40,473598","-3,5611"
2019-08-22,CUN,MAD,0,5,Adolfo Suarez-Barajas,Spain,"40,473598","-3,5611"
2023-07-21,LIS,MAD,1,2,Adolfo Suarez-Barajas,Spain,"40,473598","-3,5611"
2015-08-02,MAD,HAV,0,3,Jose Marti Intl,Cuba,"22,989401","-82,407501"
2016-07-18,OPO,VCE,0,5,Marco Polo,Italy,"45,5","12,35"
2016-08-02,LIS,SVO,0,4,Sheremetyevo,Russian Federation,"55,983299","37,416698"
2017-07-17,LCY,ARN,1,2,Arlanda,Sweden,"59,6619","17,933901"
2018-08-01,OPO,ACE,0,3,Lanzarote,Spain,"28,942499","-13,6047"
2018-08-15,OPO,BRU,0,2,Brussels Airport,Belgium,"50,901402","4,4844"
2023-03-10,OPO,BRU,0,15,Brussels Airport,Belgium,"50,901402","4,4844"
2019-04-20,OPO,STN,0,2,Stansted,United Kingdom,"51,882801","0,2339"
2019-07-16,OPO,STN,0,2,Stansted,United Kingdom,"51,882801","0,2339"
2019-08-01,OPO,WAW,0,3,Okecie,Poland,"52,166698","20,9667"
2019-08-13,MAD,CUN,0,5,Cancun International,Mexico,"21,0333","-86,866699"
2021-08-09,OPO,PDL,0,8,Nordela,Portugal,"37,7472","-25,6819"
2021-08-16,ACL,PDL,0,8,Nordela,Portugal,"37,7472","-25,6819"
2021-08-13,PDL,ACL,1,8,Aguaclara,Colombia,"4,75",-73
2022-11-19,OPO,MUC,0,1,Franz Josef Strauss International,Germany,"48,349998","11,7833"
2022-11-20,MUC,SFO,0,1,San Francisco Intl,United States,"37,6194","-122,372803"
2022-11-25,SFO,ZRH,0,1,Zurich,Switzerland,"47,458302","8,5517"
2023-07-22,MAD,EZE,0,2,Ministro Pistarini,Argentina,"-34,82","-58,533901"
